id,lastname,firstname,middlename,birthday,country
1,Гурьева,Сократ,Артемовна,1945-04-02,Барбадос
2,Алексеев,Сигизмунд,Игоревна,1911-10-12,Словакия
3,Сидоров,Иларион,Леонидовна,1956-09-15,Вьетнам
4,Муравьев,Арефий,Зиновьевич,1907-04-05,Армения
5,Филиппов,Вениамин,Артёмович,2012-04-02,Бразилия
6,Фролов,Казимир,Борисовна,1913-09-19,Аргентина
7,Якушев,Зосима,Вячеславович,1958-02-19,Латвия
8,Аксенов,Всеслав,Германович,1932-05-07,Турция
9,Елисеев,Евлампий,Григорьевна,1952-11-10,Белиз
10,Панов,Амвросий,Альбертовна,2013-07-11,Иран
11,Вишняков,Эрнест,Валериевна,1989-03-01,Ангола
12,Селиверстова,Никодим,Адамович,1911-10-20,Туркмения
13,Носов,Мокей,Харламович,1953-11-26,Италия
14,Логинова,Лонгин,Васильевна,1992-03-05,Мальта
15,Кабанова,Герман,Яковлевич,1948-06-02,Киргизия
16,Фадеева,Мефодий,Харитоновна,1938-01-22,Бельгия
17,Рыбакова,Силантий,Александрович,1914-12-25,Панама
18,Козлов,Любим,Авдеевич,1951-02-12,Джибути
19,Харитонова,Ирина,Кузьминична,1918-03-30,Либерия
20,Кудряшов,Август,Геннадиевна,1999-04-29,Южный Судан
21,Гаврилов,Поликарп,Елисеевич,1920-07-05,Кирибати
22,Орехов,Жанна,Петровна,1985-07-04,Китай
23,Лобанов,Орест,Игнатович,2015-10-26,Венгрия
24,Беляев,Пантелеймон,Игоревич,2014-06-08,ОАЭ
25,Одинцов,Вениамин,Ильинична,1969-03-29,Бельгия
26,Медведев,Владлен,Яковлевич,1990-07-09,Мозамбик
27,Федосеева,Радислав,Тимурович,1957-01-03,Сомали
28,Дмитриев,Алевтина,Аскольдовна,1909-02-26,Румыния
29,Сидорова,Ананий,Леоновна,1979-11-16,Нигерия
30,Маслова,Андроник,Захарьевич,1926-05-14,Белоруссия
31,Петров,Сильвестр,Романовна,1952-10-14,Таджикистан
32,Мамонтов,Лавр,Захаровна,1981-02-03,Катар
33,Колобова,Леонтий,Ждановна,1947-05-03,Бангладеш
34,Антонова,Ян,Львовна,1942-10-17,Туркмения
35,Григорьев,Авдей,Ильинична,1995-07-23,Восточный Тимор
36,Осипова,Лев,Викторовна,1971-11-14,Индонезия
37,Трофимова,Светлана,Ермилович,1969-02-02,Сербия
38,Якушев,Фортунат,Михайловна,1981-04-23,Ангола
39,Соколов,Алексей,Филиппович,1912-06-02,Мальта
