id,lastname,firstname,middlename,birthday,card_id
1,Соловьева,Амос,Ждановна,1915-12-09,1
2,Голубев,Акулина,Харитонович,2011-01-18,2
3,Большакова,Агап,Ануфриевич,1918-10-12,3
4,Никитина,Владлен,Харламович,1934-10-10,4
5,Шарапов,Георгий,Захаровна,1969-05-04,5
6,Калинина,Акулина,Ильинична,2004-11-20,6
7,Титова,Захар,Даниловна,1965-10-02,7
8,Фомина,Татьяна,Антипович,2007-10-27,8
9,Комарова,Родион,Федоровна,2004-12-19,9
10,Брагин,Макар,Геннадьевна,1931-04-12,10
11,Евдокимова,Сила,Эдуардович,2003-03-14,11
12,Громова,Евпраксия,Евгеньевна,2011-02-05,12
13,Савина,Георгий,Егорович,1941-03-24,13
14,Пахомова,Виктория,Виленович,1976-07-09,14
15,Воронов,Остромир,Эдгарович,1970-03-28,15
16,Щербаков,Панкратий,Валериевна,1908-06-30,16
17,Дьячкова,Софон,Болеславовна,1992-03-13,17
18,Веселов,Валерия,Антонович,1955-11-06,18
19,Тарасова,Кир,Дмитриевна,1907-07-13,19
20,Козлов,Ананий,Феофанович,2004-10-08,20
21,Наумова,Ростислав,Феофанович,1926-01-30,21
22,Муравьева,Захар,Юрьевна,1968-06-15,22
23,Рогова,Леонид,Захарьевич,1931-03-07,23
24,Виноградов,Лариса,Игоревна,2021-02-05,24
25,Соболева,Осип,Федосеевич,2017-02-17,25
26,Селезнева,Виссарион,Алексеевна,1971-05-13,26
27,Кузнецова,Элеонора,Федоровна,2017-06-14,27
28,Гришин,Варфоломей,Борисович,1930-05-05,28
29,Морозов,Карп,Игнатович,2000-07-11,29
30,Шилов,Ипполит,Алексеевна,1961-07-05,30
31,Суханов,Корнил,Харламович,2013-05-04,31
32,Веселова,Ладимир,Власович,1914-07-03,32
33,Баранова,Владлен,Германович,1924-08-26,33
34,Тихонова,Максим,Федосеевич,1968-05-11,34
35,Костина,Моисей,Викторовна,2005-06-15,35
36,Лапина,Лукия,Антипович,2013-07-17,36
37,Селиверстов,Аполлон,Эдгардович,1920-02-03,37
38,Давыдова,Демьян,Ефимовна,1944-02-06,38
39,Голубева,Платон,Захарьевич,1994-07-19,39
40,Михеева,Михей,Фролович,1993-07-14,40
41,Игнатова,Милий,Вадимовна,1939-12-26,41
42,Маркова,Марк,Захарьевич,1916-03-28,42
43,Котов,Сила,Викторович,1935-05-18,43
44,Степанов,Эммануил,Елизарович,2003-07-01,44
45,Воробьев,Трифон,Артемовна,1918-04-04,45
46,Турова,Анатолий,Витальевич,1969-05-22,46
47,Никитина,Чеслав,Григорьевна,1907-03-31,47
48,Морозов,Силантий,Вячеславович,1936-02-23,48
49,Степанов,Изяслав,Святославовна,2004-09-26,49
50,Емельянов,Пелагея,Евгеньевна,1990-12-21,50
51,Денисова,Фрол,Филимонович,1953-02-16,51
52,Рыбаков,Рубен,Борисовна,1941-01-04,52
53,Самойлов,Изяслав,Яковлевич,1995-07-26,53
54,Дроздова,Наркис,Демидович,1991-06-15,54
55,Волкова,Давыд,Артёмович,1975-04-28,55
56,Мухин,Демьян,Ермилович,1993-08-14,56
57,Журавлев,Анна,Даниилович,1957-09-04,57
58,Мухина,Федор,Елисеевич,1971-05-11,58
59,Зайцев,Добромысл,Аверьянович,1977-01-01,59
60,Журавлев,Валентина,Ефстафьевич,1919-07-25,60
61,Павлов,Наталья,Леоновна,1934-12-15,61
62,Кудряшова,Аггей,Ефремович,1966-09-01,62
63,Дорофеева,Зосима,Федотович,1993-01-06,63
64,Стрелкова,Евстигней,Харитонович,1989-10-26,64
65,Туров,Чеслав,Фокич,1924-12-30,65
66,Дмитриев,Елена,Мироновна,1941-04-05,66
67,Жданова,Давыд,Авдеевич,1930-07-31,67
68,Хохлова,Савелий,Ильясович,1982-03-27,68
69,Евдокимова,Милен,Михайловна,1976-01-01,69
70,Соколов,Януарий,Руслановна,1939-04-29,70
71,Савельев,Иванна,Богдановна,1974-04-08,71
72,Исаев,Платон,Иосипович,1997-08-07,72
73,Нестерова,Никон,Филимонович,2016-06-15,73
74,Филатова,Август,Феоктистович,1971-12-09,74
75,Коновалова,Тихон,Давыдович,1984-05-17,75
76,Чернова,Ангелина,Трофимович,1956-04-17,76
77,Денисов,Тимур,Юльевна,1957-05-11,77
78,Архипов,Василий,Ивановна,1932-05-07,78
79,Логинов,Викторин,Николаевна,1953-04-04,79
80,Горшкова,Регина,Ильясович,2017-06-15,80
81,Пахомова,Георгий,Викторович,1979-05-13,81
82,Сергеева,Сидор,Семеновна,1993-05-26,82
83,Мартынова,Доброслав,Валерианович,1917-04-26,83
84,Зуева,Леон,Олеговна,1974-04-29,84
85,Самойлов,Пахом,Арсеньевич,1955-07-19,85
86,Орехова,Тарас,Филипповна,1986-04-19,86
87,Коновалова,Касьян,Анатольевна,2006-01-11,87
88,Лазарев,Михей,Иосипович,1955-09-24,88
89,Мамонтова,Викторин,Димитриевич,1971-12-11,89
90,Костина,Юлий,Харламович,1910-12-04,90
91,Максимова,Ираклий,Владиславовна,1908-05-19,91
92,Рогова,Карл,Бориславович,2002-11-09,92
93,Федорова,Виктория,Измаилович,1938-11-12,93
94,Жукова,Аверкий,Кирилловна,1944-08-27,94
95,Князев,Гордей,Фёдорович,1965-08-21,95
96,Ширяев,Артем,Федосеевич,1916-07-19,96
97,Сидорова,Автоном,Аскольдовна,1974-09-08,97
98,Белозеров,Исидор,Викторовна,1997-05-15,98
99,Орехова,Сильвестр,Яковлевна,1940-11-25,99
100,Максимова,Арсений,Богдановна,1981-08-31,100
101,Борисов,Ян,Данилович,1984-03-13,101
102,Нестерова,Панфил,Эдуардович,2019-05-19,102
103,Авдеева,Демьян,Ааронович,2007-05-28,103
104,Моисеева,Анжелика,Егорович,2011-01-05,104
105,Дроздов,Светозар,Бенедиктович,1967-11-29,105
106,Зуева,Полина,Борисович,1966-11-10,106
107,Харитонова,Майя,Яковлевна,1964-02-22,107
108,Савина,Федосий,Юлианович,1913-09-20,108
109,Блохин,Орест,Львовна,1942-08-04,109
110,Беспалов,Устин,Рубеновна,1920-08-15,110
111,Тетерина,Лазарь,Теймуразович,1981-02-14,111
112,Зыкова,Игнатий,Витальевич,1941-10-07,112
113,Щукин,Сергей,Эльдаровна,1950-01-11,113
114,Белякова,Ладимир,Елисеевич,1933-12-20,114
115,Морозова,Зоя,Вячеславовна,1969-06-26,115
116,Селезнева,Пров,Матвеевич,1941-07-14,116
117,Прохоров,Касьян,Бориславович,1916-06-22,117
118,Власов,Симон,Юльевна,1992-05-27,118
119,Фадеев,Севастьян,Даниилович,2022-08-27,119
120,Селиверстов,Дементий,Абрамович,2018-05-29,120
121,Орехова,Аникей,Эдгардович,2007-01-16,121
122,Елисеев,Максимильян,Ефстафьевич,1966-08-18,122
123,Маслов,Харлампий,Артёмович,1998-01-19,123
124,Гущин,София,Гордеевич,1934-02-06,124
125,Лихачев,Виталий,Харитонович,1929-02-10,125
126,Макаров,Евдоким,Болеславовна,2019-11-09,126
127,Филатов,Вениамин,Валентинович,1949-07-01,127
128,Кулагин,Кирилл,Ермолаевич,1957-12-20,128
129,Шашкова,Елисей,Альбертовна,1934-02-03,129
130,Анисимова,Остап,Викентьевич,1997-05-19,130
131,Мишин,Моисей,Эдгарович,2000-04-21,131
132,Турова,Жанна,Геннадиевна,1937-04-08,132
133,Рожкова,Флорентин,Ермолаевич,1990-04-20,133
134,Федотова,Глафира,Васильевна,1973-12-07,134
135,Матвеева,Якуб,Аскольдовна,1926-02-09,135
136,Сергеев,Исай,Владимировна,2021-05-02,136
137,Миронов,Гурий,Иосифович,1998-09-05,137
138,Богданов,Бронислав,Давыдович,2015-05-21,138
139,Фролова,Кира,Егорович,1925-02-09,139
140,Ершова,Тит,Станиславовна,2018-01-02,140
141,Суворов,Исидор,Ефстафьевич,2021-01-07,141
142,Шубин,Анжелика,Фадеевич,2020-07-09,142
143,Мамонтова,Алевтина,Тимурович,1921-11-15,143
144,Субботина,Наталья,Яковлевич,2000-07-18,144
145,Смирнов,Автоном,Жанович,1944-11-09,145
146,Гришина,Мечислав,Архипович,1993-07-16,146
147,Горшкова,Ефим,Августович,1927-06-06,147
148,Игнатьев,Савватий,Артёмович,1978-03-30,148
149,Гусева,Тарас,Афанасьевич,1956-12-13,149
150,Кулагин,Савватий,Филатович,2020-07-21,150
151,Кондратьев,Ладислав,Сергеевна,1924-05-07,151
152,Ситников,Ладислав,Даниловна,1970-01-16,152
153,Орлова,Емельян,Федотович,1915-03-11,153
154,Марков,Демид,Терентьевич,1913-07-06,154
155,Князева,Гремислав,Натановна,1975-08-03,155
156,Григорьева,Самуил,Артурович,1968-06-07,156
157,Коновалова,Митофан,Тарасовна,1933-09-22,157
158,Михайлова,Лука,Михайловна,2005-07-11,158
159,Лебедева,Варфоломей,Владиславович,1965-08-08,159
160,Ефремов,Творимир,Эдгардович,1949-04-26,160
161,Веселов,Лев,Аксёнович,1931-09-27,161
162,Русакова,Лавр,Харитоновна,1962-05-21,162
163,Колесников,Нинель,Алексеевич,2008-03-15,163
164,Терентьев,Игнатий,Аркадьевна,2018-10-11,164
165,Григорьев,Елизавета,Валентинович,1929-04-07,165
166,Белозеров,Сидор,Константиновна,2001-05-20,166
167,Аксенова,Дарья,Филимонович,1937-03-16,167
168,Гришина,Андрон,Георгиевна,1961-11-27,168
169,Федотов,Ия,Дмитриевна,1935-01-26,169
170,Миронов,Жанна,Денисович,1966-05-24,170
171,Комиссаров,Фотий,Антоновна,1914-01-05,171
172,Меркушева,Ефим,Данилович,2005-03-11,172
173,Колобова,Аркадий,Гавриилович,1930-02-14,173
174,Антонова,Оксана,Федосеевич,1972-06-29,174
175,Матвеева,Адам,Оскаровна,2022-07-31,175
176,Блохин,Клавдий,Андреевна,2017-04-19,176
177,Рыбаков,Макар,Алексеевна,1963-07-04,177
178,Хохлова,Лариса,Робертовна,1914-02-25,178
179,Самойлов,Виктория,Сергеевна,2012-03-08,179
180,Бобылев,Измаил,Тарасович,1935-11-30,180
181,Голубев,Жанна,Феликсович,1943-11-18,181
182,Блинов,Агап,Харламович,1923-02-06,182
183,Семенов,Василиса,Виленович,1979-08-31,183
184,Шилова,Вышеслав,Филимонович,1982-10-14,184
185,Тетерин,Анжела,Евгеньевна,1983-07-07,185
186,Русакова,Стоян,Мироновна,1965-09-04,186
187,Мишина,Харлампий,Викторовна,1959-12-22,187
188,Терентьев,Раиса,Федотович,1973-12-24,188
