id,lastname,firstname,middlename,birthday,card_id
1,Васильева,Рубен,Леоновна,1960-05-18,Эквадор
2,Антонова,Ксения,Терентьевич,1978-11-02,Центральноафриканская Республика
3,Молчанова,Людмила,Захаровна,1980-03-10,Бруней
4,Баранов,Владилен,Эдуардовна,1953-07-08,Центральноафриканская Республика
5,Симонова,Станислав,Чеславович,2000-10-02,Азербайджан
6,Капустин,Мартьян,Феофанович,1970-03-16,Венгрия
7,Ширяева,Автоном,Феоктистович,1957-06-14,Маршалловы Острова
8,Шестакова,Борис,Феоктистович,2000-11-22,Сан-Томе и Принсипи
9,Селиверстов,Фока,Захарьевич,1992-12-11,Шри-Ланка
10,Фадеев,Поликарп,Эдуардович,1925-08-24,Гаити
11,Мухин,Руслан,Эльдаровна,1975-06-19,Мальдивы
12,Гордеев,Викторин,Фролович,1996-11-24,Кот-д’Ивуар
13,Петухов,Филипп,Львовна,2016-08-18,Бангладеш
14,Борисова,Светлана,Кирилловна,1955-11-20,Казахстан
15,Кононов,Александра,Германович,1995-05-12,Япония
16,Зуев,Любовь,Станиславовна,1961-12-14,Гаити
17,Беспалова,Степан,Яковлевна,1950-05-28,ОАЭ
18,Виноградов,Макар,Иларионович,1981-07-23,Танзания
19,Панова,Игорь,Юлианович,1953-03-07,Науру
20,Исакова,Алексей,Феодосьевич,2014-11-29,Марокко
21,Власов,Всемил,Давыдович,1997-04-07,Доминиканская Республика
22,Беляев,Варвара,Борисович,1959-12-26,Перу
23,Михеев,Аристарх,Даниилович,1995-08-10,Черногория
24,Анисимова,Аверкий,Демидович,1921-01-13,Нидерланды
25,Ларионова,Радим,Валерьянович,1999-01-05,Самоа
26,Сидорова,Ия,Фёдорович,1966-07-08,Республика Конго
27,Дьячков,Григорий,Давидович,1929-12-09,Сан-Томе и Принсипи
28,Капустин,Иванна,Оскаровна,1955-04-23,Шри-Ланка
29,Константинов,Вацлав,Викторович,1939-09-27,Лихтенштейн
30,Воронцов,Юлия,Харитонович,2000-04-16,Венесуэла
31,Гурьева,Стоян,Димитриевич,1973-01-28,Коста-Рика
32,Гаврилов,Лазарь,Тимофеевна,1970-03-16,Центральноафриканская Республика
33,Терентьева,Майя,Геннадиевна,1990-02-15,Марокко
34,Карпова,Давыд,Валерианович,2011-05-02,Коста-Рика
35,Шашков,Варвара,Ильясович,1951-01-24,Науру
36,Лобанова,Андроник,Аверьянович,1993-09-13,Хорватия
37,Гордеев,Варфоломей,Якубович,1954-11-20,Багамские Острова
38,Макарова,Сильвестр,Викторович,1911-06-27,Тунис
39,Шубина,Виктор,Феодосьевич,1997-05-11,Науру
40,Родионов,Савва,Тимуровна,2017-03-25,Таиланд
41,Зайцева,Эрнст,Захарьевич,1967-11-28,Маврикий
42,Алексеев,Эмилия,Степановна,1919-04-15,Италия
43,Михеев,Мокей,Артемовна,2002-04-24,Мальдивы
44,Уварова,Валентин,Герасимович,1920-01-19,Доминика
45,Киселев,Нина,Арсенович,1953-09-29,Чад
46,Савин,Михей,Ниловна,2007-03-30,Лаос
